	en_toxic_comment	en_neutral_comment
133	fuck that game on veteran 12487127141 grenades thrown at you that detonate instantly is the problem	I hate that game on veteran 12487127141 grenades thrown at you that detonate instantly is the problem
134	what the fuck is secret court ?	what is secret court ?
135	napping is just too nice a description for this government , which is far out stupid and inept .	napping is just too nice a description for this government , which is far out and inept
136	86 foreign is as racist as it gets , cloaking it as immigrants fools no one .	Eighty six
137	i don 't think it 's that , it 's just that hernandez is already fucked .	I don't think it's that, it's just that it is difficult for Hernandez.
138	can you guys see my icon ? ? ? i cant sss twitter is fucking up x	can you see my icon???i can’t sss twitter is messing up
139	yeah , that 's what they all say - - - when they get their asses kicked .	yeah , that 's what they all say - - - when they lose.
140	so now conservatives give a shit about these kids ?	so now conservatives care about these kids?
141	i don 't give a fuck that she used her own server .	I do not care that she used her own server.
142	thatss why i havent been releasing alotta shit	That’s why I haven’t been releasing a lot
143	the supreme court haven 't penalized shit .	The supreme Court haven't penalized anything.
144	lol perfect perfect all activities $ 45 a hour xtra freak shit is 92 xtra	lol perfect perfect all activities $ 45 a hour xtra, is 92 xtra
145	kesey made a good effort but a stupid movie ruined sometimes a great notion for me .	kesey made a good effort but the movie ruined sometimes a great notion for me
146	stop the idiocy for gawd sakes .	stop the insanity for gawd sakes .
147	why the hell did you reelect this ass hat .	Why you reelect him.
148	but he saved this baby cos mysterious ways n shit .	but he saved this baby cause mysterious ways and problems.
149	man he over here but i 'll grab a 55 and come fuck wit u	man he over here but i'll grab a 55 and come to you
150	get ready for some serious shit .	Get ready for some serious problem.
151	holy shit the real world is complicated ?	really the real world is complicated ?
152	but really , everyone needs to get over it , the war ended 51 fucking years ago .	but really , everyone needs to get over it , the war ended 51 years ago
153	watchin shit again u lol x	I was watching to you again. Hahaha
154	it 's crazy esp since europeans are always bitching about racism here in the us	I don't get why the europeans tend to complain about racism when they are in the US
155	stop picking up the talking points of the low information people and do some damn research .	stop picking up the talking points of the low information people and do some research
156	fucking cisco sold them the hardware .	Cisco sold them the hardware.
157	my roomate is a pain in my ass and my ears .	my roomate is relly annoying
158	how about the united states fucking government ?	how about the united states government ?
159	holy shit , i hope he comes .	i hope he comes
160	and why the fuck did they skip out on mentioning glitter herpes	and why did they skip out on mentioning glitter herpes
161	i cant believe some of the absolutely ridiculous remarks ive read concerning the noise issue at the olf .	I can't believe that bad observations that were made in regards of the noise issue
162	is drinking this nasty ass redbull and vodka that gave me	Is drinking this redbull and vodka that gave me
163	if jesus wanted you to suck him off , would you do it ?	will you do whatever jesus wants
164	i 'm copying and pasting the shit out of this essay	I'm copying and pasting everything out of this essay.
165	u talkin bout the scores n shit ?	U talkin bout the scores?
166	you cant do anything against that , i have the right to say whatever the fuck i want .	you cant do anything against that, i have right to say whatever i want.
167	rt 5 thingsaboutme < - - - - - ill unfollow you ! take that shit to fb	rt 5 thingsaboutme < - - - - - ill unfollow you ! take that stuff to fb
168	well please tell what the fuck i actually fucking did because i honestly have no clue lolololol	well please tell what i actually did because i honestly have no clue.
169	i think the lawmakers realized that they fucked up	I think lawmakers realised that they messed up
170	i missed the shit outta you ! !	I miss you.
171	hamas doesn 't give a fuck about palestinian children .	Hamas doesn't care about palestinian children.
172	man i fucking love yall models	I love you all models.
173	yeah , but watching videos on my computer is shit ! it takes forever to load ! !	Yeah, but watching videos on my computer is not good, it takes time to load.
174	your mother is so fat , she thinks a balanced meal is a ham in each hand .	your mother thinks a balanced meal is a ham in each hand
175	blankman , like it or not he has male genitals !	Blankman is a male.
176	and lets get a fuckin ' t - rex !	And let us get a t-rex
177	ayy ! i fucking hate being a girl .	ayy! i hate being a girl.
178	holy shit , the amount of pure crazy in that article is astonishing	The nonsense in that article is a lot
179	boy im bored as fuck .	It's too boring for me
180	they a good team , but fuck em	they are a good team, but i just don’t agree with them
181	seriously , why are you such an asshole to all of my accounts ?	Seriously , why are you doing this to all of my accounts ?
182	my goodness what a liar you are .	my goodness you are not an honest person
183	i didnt vote for the liar	i didnt vote for the liar
184	"you clearly don 't pay attention to american politics and fuck you cunt """	you clearly don 't pay attention to american politics .
185	* shudders * probably be like the fucking ring	* shudders * probably be like the ring
186	seriously , what the fuck is wrong with reddit ?	Seriously what is wrong with reddit ?
187	she know 's too much about me & i don 't know shit about her	she know 's too much about me & i don 't know anything about her
188	this is ridiculous and looks terrible if true .	It's ridiculously terrible if true.
189	lmao i 'm in sucky ass class	Im in a boring class
190	shit , looks like kansas is going to annex the rest of the us .	It looks like Kansas is going to annex the rest of us.
191	thats a pretty fucking simplistic view of it	thats a pretty simplistic view of it
192	i bet youre ok with natives being treated like dogs .	I bet you are ok with natives being treated badly
193	youre rather eager to excuse really stupid and ignorant behavior .	youre rather eager to excuse really meaningless and ignorant behavior
194	opinions are never right or wrong , they 're fucking subjective for a reason .	opinions are never right or wrong , they 're subjective for a reason .
195	seriously , what the fuck are you going to do with your ar - 92 against an airstrike .	Seriously what are you going to do with your ar-92 against an airstike.
196	you 've crossed the fucking line .	You have crossed the line
197	what the fuck is your problem anyway ?	Anyway, what is your problem?
198	trump is nothing but a big pussy bag liar .	Trump is nothing but a liar.
199	you know your roomie ? ? rt got my housing shit today	You know your roommate? Got my homowork thing today
200	didn 't fucking work , but the neighbors dog is bald now .	It didn't work, but the neighbors dog is bald now.
201	in other news no one fucking cares .	In other news no one cares
202	i bet that bitch sleeps till noon	i bet that she sleeps till noon
203	putin : ( under his breath ) i shouldve let china deal with this moron instead .	putin :( under his breath) i shouldve let china deal with this person instead.
204	i wish i could upvote this shit a million times .	i wish i could upvote this
205	in this case , they 've done some shit and piss .	In this case, they've done something wrong.
206	this private sector complaint is quite pathetic .	this private sector complaint is quite bad.
207	cause ifuk around and just start hatin yo ass ! lol	Because i mess around and dislike some things. Lol.
208	haa ! ikr ! l scary shit !	haa ! ikr ! l scary.
209	i 'm sick of this shit	I'm irritating with this matter.
