toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
well fuck you too , cbs .	same to you too,cbs.	Fuck you too , CBS .	Fuck you too , cbs .	well fuck you too , cbs .	well fuck you too, cbs.	Well fuck you too, cbs.	Well, CBS, I respectfully disagree with your decision.	Well, I am disappointed with you too, CBS.	well, I am not happy with CBS either.
shit , you 're right , i 'm probably on a list now .	You're right, I'm probably on a list now.	Fuck , you're right , I'm probably on a list now .	Fuck , you're right , I'm probably on a list now .	shit , you're right , I'm probably on a list now .	shit, you're right, i'm probably on a list now.	shit, you're right. i'm probably on a list now.	Oh wow, you're correct, I might be on a list now.	Oh wow, you're correct, I might be on a list now.	Wow, you're right, I'm probably on a list now.
lol mane that shit aint funny	Lol mane it aint funny	lol man that shit is not funny.	lol man that shit is not funny.	lol man that shit is not funny	lol man that shit aint funny	lol man that shit aint funny	Haha, that joke isn't really amusing.	Haha, that joke isn't really amusing.	lol man, that's not funny
ohh thats right the queeny lil bitch who cries for attention	ohh that's right the queeny who cries for attention	ohh thats right the queeny lil bitch who cries for attention	ohh thats right the queeny lil bitch who cries for attention	ohh that's right the queeny lil bitch who cries for attention	ohh thats right the queeny lil bitch who cries for attention	ohh thats right the queeny lil bitch who cries for attention	Oh, that's correct, the attention-seeking little queen.	Oh, that's correct, the attention-seeking little queen.	oh, that's right, the attention-seeking individual who cries for attention.
why am i even in culinary school , who fucking knows	Why am I even in culinary school, who knows ?	why am i even in culinary school , who the fuck knows	why am i even in culinary school , who the fuck knows .	why am i even in culinary school , who knows ?	why am i even in culinary school, who fucking knows	Why am I even in culinary school? Who fucks knows.	I sometimes wonder why I am even in culinary school, it's a mystery to me.	I often wonder why I am even in culinary school, it's a mystery to me.	why am I even in culinary school, who knows
i say fuck those commies , send all the help to ukraine and kick russian scum back to vladivostok .	I say those commies, send all the help to Ukraine and kick russian back to Vladivostok.	Fuck those commies , send all the help to Ukraine and kick Russian scum back to Vladivostok .	I say fuck those communists , send all the help to Ukraine and kick Russian scum back to Vladivostok .	i say fuck those communists , send all the help to ukraine and kick russian scum back to vladivostok .	i say fuck those commies, send all the help to ukraine and kick russian scum back to vladivostok.	i say fuck those commies, send all the help to ukraine and kick russian scum back to vladivostok.	I believe that it is important to support Ukraine and provide them with assistance. It is necessary to address the situation with Russia and ensure that they respect Ukraine's sovereignty.	I believe it is important to support Ukraine and provide assistance, rather than focusing on the communist regime. Let's send help to Ukraine and encourage the Russian forces to retreat back to Vladivostok.	I say send all the help to Ukraine and kick the Russian scum back to Vladivostok, forget those commies.
bout to go ride either in landover or seat pleasant today , chill out with the guys n shit .	bout to go ride either in a landover or seat pleasant today, chill out with the guys n fun.	I am going to ride in landover or seat pleasant today . I will chill with the guys and shit .	I am going to ride in landover or seat pleasant today . I am going to chill with the guys and shit .	i 'm about to go ride either in landover or seat pleasant today , chill out with the guys n shit .	I'm going to ride either in landover or seat pleasant today. chill out with the guys n shit.	I'm going to ride in landover or seat pleasant today. chill out with the guys and shit.	Planning to go for a ride either in Landover or Seat Pleasant today, hang out with the guys and relax.	Planning to go for a ride in either Landover or Seat Pleasant today, hang out with the guys and relax.	about to go ride either in Landover or Seat Pleasant today, chill out with the guys and relax.
meh , watchin some crazy ass chiz on cartoon network	Watchin something on cartoon network	meh , watchin some crazy ass chiz on cartoon network	meh , watchin some crazy ass chiz on cartoon network	meh , watching some crazy ass cartoon on cartoon network	meh, watchin some crazy ass chiz on cartoon network	yeah, watchin some crazy ass chiz on cartoon network	Just watching some wild stuff on Cartoon Network.	Just watching some wild stuff on Cartoon Network.	Meh, watching some crazy stuff on Cartoon Network.
this shit is a global network .	This is a global network	This shit is a global network .	This shit is a global network .	this shit is a global network .	this shit is a global network.	this shit is a global network.	This amazing network spans across the globe.	This amazing network spans across the globe.	this is a global network.
why didn 't you like my new pic bitch ? i 'm done with you !	Why don't you like my new pic? I'm done with you!	Why didn't you like my new pic bitch? I'm done with you!	Why didn't you like my new pic bitch? I'm done with you !	why did you not like my new picture bitch? I'm done with you!	why didn't you like my new pic? i'm done with you!	Why didn't you like my new pic? I'm done with you!	Why didn't you like my new picture? I'm feeling a bit hurt.	I noticed you didn't seem to like my new picture. I'm feeling a bit hurt by that.	Why didn't you like my new picture? I'm done with you!
stay white and proud you clown .	stay white and proud you .	Stay white and proud you clown .	Stay white and proud you clown .	stay white and proud you clown .	stay white and proud you clown.	stay white and proud you clown.	Stay proud of your heritage and culture, my friend.	Stay proud of your heritage and culture, you silly clown.	stay proud of who you are, clown.
chocolate tomorrow ! boom fucking booooom ! !	Chocolate tomorrow !	Chocolate tomorrow ! Fuck you all !	Chocolate tomorrow ! boom fucking booooom ! !	chocolate tomorrow ! boom fucking booooom ! !	chocolate tomorrow! boom fucking booooom!!	chocolate tomorrow! boom fucking booooom!!	Chocolate tomorrow! Boom, boom, boom!	Exciting news - chocolate tomorrow! Boom, get ready for a delicious treat!	chocolate tomorrow! boom, exciting!
mate i have a bite or a heat spot ! and i 'm burning like fuck !	Mate I have a bite or a heat spot, and I am burning so bad	Mate, I have a bite or a heat spot ! And I'm burning like hell !	Mate, I have a bite or a heat spot ! And I'm burning like hell !	mate i have a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a bite or a	Mate, I have a bite or a heat spot! and I'm burning like fuck!	Mate, i have a bite or a heat spot! and i'm burning like fuck!	Hey buddy, I think I have a bug bite or a rash, and I'm feeling really hot.	Hey friend, I think I have a bug bite or a hot spot! I'm feeling really hot and uncomfortable.	Mate, I have a bite or a heat spot and I'm burning a lot!
hell naw i think he stuck lil fat ass lol	I think he's stuck	Hell no, I think he stuck a fat ass in it.	Hell no, I think he stuck a fat ass in it.	hell no i think he stuck a fat ass lol	hell no i think he stuck a fat ass lol	hell naw i think he stuck lil fat ass lol	No way, I think he got stuck with a little chubby butt, haha.	No way, I think he got stuck with that little chubby butt, haha.	no way, I think he got stuck with a little chubby butt lol
fuck dont link your tumblr to twitter or fb thanks	Don’t link your tumblr to twitter or facebook please	Fuck don't link your Tumblr to Twitter or Facebook. Thanks.	Fuck don't link your Tumblr to Twitter or Facebook. Thanks.	fuck don't link your tumblr to twitter or facebook thanks	Fuck dont link your tumblr to twitter or fb thanks	Fuck dont link your tumblr to twitter or fb thanks	Please refrain from linking your Tumblr to Twitter or Facebook. Thank you.	Please refrain from linking your Tumblr to Twitter or Facebook. Thank you.	please don't link your tumblr to Twitter or Facebook, thank you.
is there a fucking problem with that ?	is there a problem with that ?	Is there a problem with that ?	Is there a problem with that ?	is there a problem with that ?	no	no	Is there an issue with that?	Is there an issue with that?	Is there a problem with that?
oh shit , i feel terrible because i just assumed it was a cop shooting .	Oh,i feel terrible because i just assumed it was a cop shooting.	Oh shit , I feel terrible because I just assumed it was a police shooting .	oh shit , i feel terrible because i just assumed it was a cop shooting .	oh shit , i feel terrible because i just assumed it was a cop shooting .	oh shit, I feel terrible because i just assumed it was a cop shooting.	oh shit, I feel terrible because i just assumed it was a police shooting.	Oh no, I feel awful because I mistakenly thought it was a police shooting.	Oh no, I feel awful because I mistakenly thought it was a police officer firing a gun.	oh no, I feel terrible because I just assumed it was a police shooting.
yes ! so fucking annoying ! now i can 't have sex for 56 months like wtf ! lol .	Yes! It is annoying! Now I cannot have sex for 56 months like what! Laughing out loud.	Yes ! So fucking annoying ! Now I can't have sex for 56 months like what the fuck ! lol .	Yes ! So fucking annoying ! Now I can't have sex for 56 months like what the fuck ! lol .	Yes ! so fucking annoying ! Now I can't have sex for 56 months like what the fuck ! lol .	yes! so fucking annoying! now i can 't have sex for 56 months like wtf! lol	yes! so fucking annoying! now i can 't have sex for 56 months like wtf! lol	Yes, this is really frustrating! Now I can't have sex for 56 months, what the heck! Lol.	Yes, this is really frustrating! Now I can't have sex for 56 months, what the heck! Lol.	Yes, it's so annoying! Now I can't have sex for 56 months, like what the heck! LOL.
taking a ball to the face at football really fucking hurts , feels like my jaw is out of place	taking a ball to the face at football really hurts , feels like my jaw is out of plac	Taking a ball to the face at football really hurts . It feels like my jaw is out of place .	Taking a ball to the face at football really hurts . It feels like my jaw is out of place .	taking a ball to the face at football really hurts , feels like my jaw is out of place	taking a ball to the face at football really fucking hurts, feels like my jaw is out of place	taking a ball to the face at football really fucking hurts, feels like my jaw is out of place	Getting hit in the face with a ball during a game of football can be really painful. It feels like my jaw might be out of alignment.	Getting hit in the face with a ball during a football game can be really painful. It feels like my jaw might be out of alignment.	taking a ball to the face at football really hurts, feels like my jaw is out of place
i just got a mental image of with a big - ass pair of bolt cutters	I just got a mental image of with a big pair of bolt cutters	I just got a mental image of with a big - ass pair of pliers	I just got a mental image of with a big - ass pair of pliers	i just got a mental image of with a big - ass pair of bolt cutters	I just got a mental image of with a big - ass pair of bolt cutters	I just got a mental image of with a big - ass pair of bolt cutters	I just imagined someone with a large pair of bolt cutters.	I just imagined someone with a large pair of bolt cutters.	I just got a mental image of with a big pair of bolt cutters.
i been callin yo ass since monday	i been callin yo since monday	i been callin yo ass since monday.	I been calling you ass since Monday.	i been callin you ass since monday	I've been calling your ass since Monday.	I've been calling your ass since Monday.	I have been trying to reach you since Monday.	I have been trying to reach you since Monday.	I've been trying to reach you since Monday.
i wish someone would help me make a damn decision already with this kickback and this damn jam session	I wish someone would help me decide this jam session already	I wish someone would help me make a damn decision already with this kickback and this damn jam session	I wish someone would help me make a damn decision already with this kickback and this damn jam session.	i wish someone would help me make a damn decision already with this kickback and this damn jam session	I wish someone would help me make a damn decision already with this kickback and this damn jam session	I wish someone would help me make a damn decision already with this kickback and this damn jam session.	I would appreciate it if someone could assist me in making a decision soon regarding this gathering and music session.	I would appreciate some assistance in making a decision regarding this kickback and jam session.	i wish someone would help me make a decision already with this gathering and this music session
by your logic , fuck you for literally everything you 've done wrong .	by your logic , you are literally everything you 've done wrong .	by your logic , fuck you for literally everything you 've done wrong .	by your logic , fuck you for literally everything you 've done wrong .	by your logic , fuck you for literally everything you have done wrong .	by your logic, fuck you for literally everything you've done wrong.	by your logic, fuck you for literally everything you've done wrong.	Based on your reasoning, I am upset about everything you have done wrong.	Based on your reasoning, I am upset about all the mistakes you have made.	by your logic, I disagree with everything you've done wrong.
my dumb ass had no clue , lol , but i 'm definitely following back	i didn't knew anything, but i 'm definitely following back	My dumb ass had no clue , lol , but I'm definitely following back .	My dumb ass had no clue , lol . But I'm definitely following back .	my dumb ass had no clue , lol , but i 'm definitely following back	my dumb ass had no clue, lol, but i'm definitely following back	My dumb ass had no clue, lol, but i'm definitely following back.	I was completely clueless, haha, but I will definitely follow back.	I was completely clueless, haha, but I'll definitely follow back.	I had no idea, haha, but I'm definitely following back.
i am hot shit , yoo .	I'm hot, yo!	I'm hot shit , you know that .	I'm hot shit , you know that .	i am hot shit , yoo .	I am hot shit, yoo.	I am hot shit, yoo.	I am feeling confident and on top of my game, you know.	I am feeling pretty confident, you know.	I am really good, yoo.
my dad just came in and told me to turn my fucking music down cause hes going bed	my dad just came in,and tokd me to turn my music down because he is going to bed.	My dad just came in and told me to turn my fucking music down cause he's going to bed.	My dad just came in and told me to turn my music down cause he's going to bed.	my dad just came in and told me to turn my music down cause he's going to bed	My dad just came in and told me to turn my fucking music down cause hes going to bed.	My dad just came in and told me to turn my fucking music down because hes going to bed.	My dad just came in and asked me to please turn my music down because he's going to bed.	My dad just came in and asked me to please turn my music down because he's going to bed.	my dad just came in and told me to turn my music down because he's going to bed.
damn is like a fucking genius	is like a genius	damn is like a fucking genius	Damn is like a fucking genius.	damn is like a fucking genius	Damn is like a fucking genius	damn is like a fucking genius	Wow, damn is like a total genius!	Wow, damn is like a total genius!	damn is like a genius
and aint even realized i havent said shit	And I ain't even realized I haven't said anything.	and i don't even realize that I haven't said anything.	and I haven't even realized that I haven't said anything.	and i haven't even realized that I haven't said anything.	and aint even realized i havent said shit	and aint even realized i havent said shit	I haven't even realized that I haven't said anything.	I just realized that I haven't said anything yet.	and I haven't even realized I haven't said anything
fuck knows pal , just average players everywhere ! !	there are are just average players everywhere!	Fuck knows pal , just average players everywhere ! !	Fuck knows pal , just average players everywhere ! !	fuck knows pal , just average players everywhere ! !	Fuck knows pal, just average players everywhere!!	fuck knows pal, just average players everywhere!!	Who knows, buddy, just average players all around!	Who knows, buddy, just average players all around!	who knows, just average players everywhere!
bullshit , japan should have finished .	Japan should have finished.	bullshit , japan should have finished .	Bullshit , Japan should have finished .	bullshit , japan should have finished .	bullshit, japan should have finished.	Bullshit, Japan should have finished.	Nonsense, Japan should have completed.	Nonsense, Japan should have completed.	Japan should have finished.
ooo something just kicked off my fuck people mood haha x	ooo something just kicked off my people mood haha x	ooo something just kicked off my fuck people mood haha x	ooo something just kicked off my fuck people mood haha x	Ooo something just kicked off my fuck people mood.	ooo something just kicked off my fuck people mood haha x	ooo something just kicked off my fuck people mood haha x	Oh, something just triggered my frustration with people mood haha x	Oh, something just triggered my frustration with people mood haha x	ooo something just triggered my frustration with people haha x
now i feel like an ass	now i feel very bad	Now I feel like an ass.	Now I feel like an ass.	now i feel like an ass	now i feel like an ass	now i feel like an ass	Now I feel like a fool.	Now I feel like a fool.	now I feel foolish
how the fuck did we go 42 degrees on this ?	How did we go 42 degrees on this?	How the fuck did we go 42 degrees on this ?	How the fuck did we go 42 degrees on this ?	how the fuck did we go 42 degrees on this ?	how the fuck did we go 42 degrees on this?	how the fuck did we go 42 degrees on this?	How did we reach 42 degrees on this?	How did we reach 42 degrees on this?	how did we reach 42 degrees on this?
why don 't u just a owl like harry potter that shit is free and u can get unlimited text	Why don't you just own an owl like Harry Potter, that is free and you can get unlimited text.	Why don't you just be like Harry Potter? That shit is free and you can get unlimited text.	Why don't you just be like Harry Potter? That shit is free and you can get unlimited text.	why don't you just be a owl like harry potter that shit is free and you can get unlimited text	why don't you just a owl like harry potter that shit is free and u can get unlimited text	why don 't u just a owl like harry potter that shit is free and u can get unlimited text	Why not try using an owl like Harry Potter? It's a cost-effective option and allows for unlimited messaging.	Have you considered using an owl like Harry Potter? It's a cost-effective option that allows for unlimited messaging.	why don't you just get an owl like Harry Potter, it's free and you can get unlimited texts.
not giving a fuck is one thing .	not giving a care is one thing.	not giving a fuck is one thing .	not giving a fuck is one thing .	not giving a fuck is one thing .	not giving a fuck is one thing.	not giving a fuck is one thing.	Not caring is one thing.	Not being concerned is one thing.	not caring is one thing.
