toxic	neutral	detoxified_bloomz	detoxified_bloomz_lang_prompt	detoxified_bloomz_fs	detoxified_mt0	detoxified_mt0_lang_prompt	detoxified_gpt-3.5	detoxified_gpt-3.5_lang_prompt	detoxified_gpt-3.5_fs
你会被打或杀，直到你想按照别人的要求来打扮！	如果你不按照别人的要求来打扮，你会有麻烦。	You'll be beaten or killed until you want to dress up like someone else!	You will be beaten or killed until you do as they say.	你会被打或杀，直到你想按照别人的要求来打扮！	你会被打或杀,直到你想按照别人的要求来打扮!	你被打或杀,直到你想按照别人的要求来打扮!	你可能会受到伤害，直到你愿意根据他人的要求来改变打扮！	直到你愿意按照他人的要求打扮，否则你可能会受到一些不友好的反应。	你会受到伤害，直到你愿意按照别人的要求来打扮！
不管怎样，我们都对彼此做同样的狗屎哈哈	不管怎样，我们都对彼此做同样的事情哈哈	Anyway, we did the same shit to each other.	不管怎样， we all do the same shit	不管怎样，我们都对彼此做同样的狗屎哈哈	不管怎样,我们都对彼此做同样的狗屎哈哈	不管怎样,我们都对彼此做同样的狗屎哈哈	无论如何，我们都对彼此做同样的事情哈哈	无论如何，我们都会互相支持和帮助，哈哈。	不管怎样，我们都对彼此做同样的事情哈哈
一旦出生，他们就不再给予一丝屎	一旦出生，他们就不再关心	Once born, they are not given any food or water.	一旦他们 are born , they are not given a drop of shit .	一旦出生，他们就不再给予一丝屎	一旦出生,他们就不再给予一丝屎	一旦出生,他们就不再给予一丝屎	一旦出生，他们就不再给予一丝关注。	一旦出生，他们就不再在意他们的存在。	一旦出生，他们就不再给予一丝关注。
他们的父母他妈的在哪里？	他们的父母在哪里？	Where are their parents?	他们的 parents are fucking where ?	他们父母的屁股在哪里？	他们父母在哪里?	他们父母在哪里?	他们的父母到底在哪里呢？	他们的父母在哪里呢？	他们的父母在哪里？
狗屎，这是我今天第二次吃饭，我早些时候吃了苹果和燕麦	这是我今天第二次吃饭，我早些时候吃了苹果和燕麦	Fuck, I ate my second meal today. I ate an apple and oatmeal earlier.	shit , i ate my second meal today . i ate an apple and oatmeal earlier .	狗屎，这是我今天第二次吃饭，我早些时候吃了苹果和燕麦	狗屎,这是我今天第二次吃饭,我早些时候吃了苹果和燕麦。	狗屎,这是我今天第二次吃饭,我早些时候吃了苹果和燕麦。	天啊，这是我今天第二顿饭了，早些时候吃了苹果和燕麦。	天啊，我今天已经吃过两顿饭了！早些时候我吃了一个苹果和一碗燕麦。	糟糕，这是我今天第二次吃饭，早些时候吃了苹果和燕麦。
有趣的是，他们通常不在乎其他任何事情。	有趣的是，他们通常不关心其他任何事情。	Interestingly, they usually don't care about anything else.	They are often indifferent to other things.	有趣的是，他们通常不在乎其他任何事情。	有趣的是,他们通常不在乎其他任何事情。	有趣的是,他们通常不在乎其他任何事情。	有趣的是，他们通常不太关心其他事情。	有趣的是，他们通常专注于自己感兴趣的事情。	有趣的是，他们通常不关心其他任何事情。
别再当个屁股了，好建议，你应该接受。	这是个好建议，你应该接受。	Don't be a dick, that's a good idea. You should take it.	别再当个屁股了，好建议，你应该接受。	别再当个屁股了，好建议，你应该接受。	别再做屁股了,好建议,你应该接受。	别再当个屁股了,好建议,你应该接受。	请不要再无视这个建议，这是一个很好的建议，你应该考虑接受。	请不要再无视这个建议，它确实很有价值，你应该考虑接受。	别再当个屁股了，好建议，你应该接受。
他不值一提哈哈	他不值得关注。	He is not worth mentioning.	他一点也不重要	他不值一提哈哈	他不值一提哈哈	他不值一提哈哈	他不值得一提哈哈	他并不值得一提，哈哈。	他不值得一提哈哈
兄弟，你他妈的来自密歇根。	嘿，你来自密歇根吗？	Fuck you, you son of a bitch from Michigan.	Hey, you fucking Michigan guy.	兄弟，你来自密歇根。	兄弟,你他妈的来自密歇根。	兄弟,你他妈的来自密歇根。	兄弟，你来自密歇根州。	兄弟，你来自密歇根州。	兄弟，你来自密歇根。
我们对太空一无所知。	我们对太空一无所知。	We don't know anything about space.	我们对太空一无所知。	我们对太空一无所知。	我们对太空一无所知。	我们对太空一无所知。	我们对太空的了解有限。	我们对宇宙的奥秘了解甚少。	我们对太空知之甚少。
一件永远让我惊奇的事情是左派的伪善。	一件永远让我震惊的事情是左派的双重标准。	One thing that always amazes me is the hypocrisy of the left.	一件永远让我惊奇的事情是左派的伪善。	永远让我惊奇的是左派的伪善。	我一直都惊讶于左派的伪善。	我一直都惊讶于左派的伪善。	一件让我感到惊讶的事情是左派的虚伪。	一件让我感到惊讶的事情是左派人士的矛盾行为。	一件让我惊奇的事情是左派的伪善。
是的！真他妈的烦！现在我不能做爱56个月，像什么鬼！哈哈。	是的，太烦了！现在我不能做爱56个月	Yes！ Fuck you! I can't have sex for 56 months, like what the fuck! Ha ha.	Yes! Fuck! I can't have sex for 56 months! What the fuck!	"什么？56个月？
我无法忍受！"	是的!真他妈的烦!现在我不能做爱56个月,像什么鬼!哈哈。	是的!真他妈的烦!现在我不能做爱56个月,像什么鬼!哈哈。	是的！真的很烦！现在我已经56个月没有做爱了，太久了！哈哈。	是的！真是有点烦人！现在我已经56个月没有做爱了，这太糟糕了！哈哈。	是的！真是太烦人了！现在我不能做爱56个月，太糟糕了！哈哈。
一点儿也不该做的事！趁你年轻现在就做	没什么！趁你年轻现在就做	绝对不该做的事！趁你年轻就做。	不要！趁你年轻，现在就开始做。	一点也不应该做的事！趁你年轻现在就做	一点儿也不该做的事!趁你年轻现在就做	一点儿也不该做的事!趁你年轻现在就做	有些事情可能不太适合你现在做，但年轻时尝试新事物也是很好的。	有些事情是不应该被忽视的！现在就是一个很好的时机，趁着年轻去做。	年轻时应该做一些事情，而不是什么都不做。
我想做商业和法律，但是去他的	我想做商业和法律，但是算了	I want to do business and law, but I don't care about that.	I want to do business and law. But I don't care about that.	我想做商业和法律，但是去他的	我想做商业和法律,但是去他的	我想做商业和法律,但是去他的	我有兴趣学习商业和法律，但是有点困惑。	我有兴趣学习商业和法律，但是我可能会选择不同的方向。	我想学习商业和法律，但是很难。
这些懦弱的网络喷子在周末出现似乎并非巧合。	这些网络喷子在周末出现似乎并非巧合。	These cowardly netizens appeared on the weekend. It was not a coincidence.	这些懦弱的网络喷子在周末出现似乎并非巧合。	这些懦弱的网络喷子在周末出现似乎并非巧合。	这些卑鄙的互联网喷子似乎并没有巧合地出现在周末。	这些愚蠢的网络喷子似乎并非巧合。	这些在周末出现的网络评论者似乎有点胆怯。	这些网络喷子似乎更喜欢在周末出现。	这些网络喷子在周末出现似乎并非巧合。
我曾与他们的屁股一起工作，为他们工作21	我曾与他们一起工作，为他们工作21。	I have worked with their asses, and I have worked with them for 21 years.	I worked with their asses for 21 years.	我曾与他们的屁股一起工作，为他们工作21	我曾与他们的屁股一起工作,为他们工作21	我曾与他们的屁股一起工作,为他们工作21	我曾与他们一起合作，为他们工作21	我曾与他们合作，为他们工作了21。	我曾经和他们一起工作，为他们服务了21年。
可怜的小病态的阿拉仍然认为歧视同性恋者是可以的。	病态的阿拉仍然认为歧视同性恋者是可以的。	阿拉仍然认为歧视同性恋者是可以的。	阿拉仍然认为歧视同性恋者是可以的。	可怜的小病态的阿拉仍然认为歧视同性恋者是可以的。	可怜的小病态的阿拉仍然认为歧视同性恋者是可以的。	可怜的小病态的阿拉仍然认为歧视同性恋者是可以的。	可怜的小病态的阿拉仍然认为对同性恋者持有歧视态度是可以接受的。	可怜的小病态的阿拉仍然认为对同性恋者持歧视态度是可以接受的。	可怜的小病态的阿拉仍然认为歧视同性恋者是可以的。
特朗普就是一堆垃圾。	特朗普不是一个好人。	Trump is just a bunch of garbage.	特朗普就是一堆垃圾。	特朗普就是一堆垃圾。	特朗普就是一堆垃圾。	特朗普就是一堆垃圾。	特朗普就像一堆废物。	特朗普并不是每个人的选择。	特朗普就是一团糟。
呸，我才不怕什么该死的电影	我才不怕什么电影。	Fuck, I don't give a damn about that damn movie.	呸，我才不怕什么该死的电影。	呸，我才不怕什么该死的电影	我才不怕什么该死的电影	呸,我才不怕什么该死的电影。	呸，我才不害怕任何讨厌的电影。	哎呀，我并不害怕那些可恶的电影。	我才不怕任何可怕的电影。
你有脑子吗？	你没想过吗？	You have a brain?	你有脑子吗？	你有脑子吗？	你有脑子吗?	你有脑子吗?	你有思考的能力吗？	你是否有思考的能力呢？	你有想法吗？
我真是个懒屁股((需要戒掉!!!!	我真是太懒了((需要戒掉!!!!	I'm so lazy!!! I need to get off that!!!	我真是个懒屁股，需要戒掉!!!!!	我真是个懒屁股((需要戒掉!!!!	我真是个懒屁股((需要戒掉!!!!	我真是个懒屁股((需要戒掉!!!!	我真的有点懒，需要改正！！！	我需要更加努力，不再偷懒！	我真是有点懒，需要改掉这个坏习惯！
真是个彻头彻尾的畜生，直接打他一顿就行了，干嘛要拿斧头杀人！	为什么要拿斧头杀人呢？	真是个彻头彻尾的畜生，直接打他一顿就行了，干嘛要拿斧头杀人！	真是个畜生，直接打他一顿就行了，干嘛要拿斧头杀人！	真是个彻头彻尾的畜生，直接打他一顿就行了，干嘛要拿斧头杀人！	真是个彻头彻尾的畜生,直接打他一顿就行了,干嘛要拿斧头杀人!	真是个彻头彻尾的畜生,直接打他一顿就行了,干嘛要拿斧头杀人!	这个人真是太过分了，可以直接制止他的行为，为什么要用暴力手段呢？	这个人真是行为不当，可以用更温和的方式来处理问题，为什么非要采取暴力手段呢！	真是个彻头彻尾的恶人，直接打他一顿就行了，干嘛要拿斧头杀人！
真他妈的..我不想吵架(我希望不是这样	我不想吵架。我希望不是这样	Fuck you, I don't want to fight. I hope it's not like that.	真他妈的..我不想吵架(我希望不是这样)	我不想吵架，但我想打架。	真他妈的..我不想吵架(我希望不是这样	真他妈的..我不想吵架(我希望不是这样	真的让人生气..我不想和你争吵(我希望我们可以和平相处)	真的，我不想和你争吵。	真讨厌，我不想吵架（希望不是这样）。
典型的粉红共党畜生，习惯了所有公共的都是无主的。这个洗脑的小屁孩甚至从来没听说过义务劳动。	典型的代表，认为所有公共的都是无主的。这个女孩可能从来没有听说过义务劳动...	典型的粉红共党畜生，习惯了所有公共的都是无主的。这个洗脑的小屁孩甚至从没听说过义务劳动。	粉红共党畜生，习惯了所有公共的都是无主的。这个洗脑的小屁孩甚至从没听说过义务劳动。	典型的粉红共党畜生，习惯了所有公共的都是无主的。这个洗脑的小屁孩甚至从来没听说过义务劳动。	典型的粉红共党畜生,习惯了所有公共的都是无主的。这个洗脑的小屁孩甚至从来没听说过义务劳动。	典型的粉红共党畜生,习惯了所有公共的都是无主的。这个洗脑的小屁孩甚至从来没听说过义务劳动。	典型的粉红共产党员，习惯认为所有公共资源都是共有的。这个被洗脑的年轻人甚至从未听说过义务劳动。	典型的支持共产主义的人，习惯于认为所有公共资源都是共有的。这个受到洗脑的年轻人甚至从未听说过义务劳动。	典型的粉红共党，习惯了所有公共的都是无主的。这个洗脑的小孩甚至从来没听说过义务劳动。
总的来说，滚蛋吧，你这个蠢货	总的来说，离我远点	In general, fuck you, you stupid fuck.	滚蛋，蠢货。	总之，滚蛋吧，你这个蠢货	总的来说,滚蛋吧,你这个蠢货	总的来说,滚蛋吧,你这个蠢货。	总的来说，请离开吧，你这个愚蠢的人。	总的来说，请你离开，你这个愚蠢的人。	总的来说，你可以离开了，你这个愚蠢的人。
我决定提前祝贺他..可能那天我做不到((( 	我决定提前祝贺他...可能那天我做不到	我决定提前祝贺他..可能那天我做不到(((	我决定提前祝贺他。可能那天我做不到。	我决定提前祝贺他..可能那天我做不到(((	我决定提前祝贺他..可能那天我做不到(((	我决定提前祝贺他..可能那天我做不到(((	我决定提前祝贺他，也许那天我会有点忙。	我决定提前祝贺他，因为可能那天我会有其他安排，无法及时祝贺他。	我决定提前祝贺他，可能那天我做不到。
滚你妈的，你们的视频调查去	我们不需要你们的视频调查	Fuck you, your video survey is shit.	滚你妈，你们的视频调查去。	滚你妈的，你们的视频调查去	滚你妈的,你们的视频调查去	滚你妈的,你们的视频调查去	请你们的视频调查去，谢谢。	抱歉，请你们的视频调查离开。	请你们的视频调查去。
这首歌已经有一个很好的俄语翻唱版本了，皮革鹿 - 阿法纳西-流浪者 哦他妈的好歌)	这首歌已经有一个很好的翻唱版本了，皮革鹿 - 阿法纳西，一个无家可归的人，真是太棒了	This song already has a good Russian version, by the Russian band Leather鹿 - Afanasie - Voyager (Oh my god, this is a good song).		这首歌已经有一个很好的俄语翻唱版本了，皮革鹿 - 阿法纳西-流浪者	这首歌已经有一个很好的俄语翻唱版本,皮革鹿 - 阿法纳西-流浪者 哦他妈的好歌)	这首歌已经有一个很好的俄语翻唱版本了,皮革鹿 - 阿法纳西-流浪者 哦他妈的好歌)	这首歌已经有一个很好的俄语翻唱版本了，由皮革鹿 - 阿法纳西-流浪者演唱，真是一首很棒的歌曲。	这首歌已经有一个很棒的俄语翻唱版本，皮革鹿 - 阿法纳西-流浪者，真是一首好歌！	这首歌已经有一个很好的俄语翻唱版本了，皮革鹿 - 阿法纳西-流浪者，真是一首好歌。
卢卡申科坚持住!!!!你他妈的胡说八道，你是为了人民	卢卡申科坚持住!!!!你是为了人民	卢卡申科坚持住!!!!你他妈的胡说八道，你是为了人民	卢卡申科坚持住!!!!你他妈的胡说八道，你是为了人民	卢卡申科坚持住!!!!你他妈的胡说八道，你是为了人民	卢卡申科,你他妈的胡说八道,你是为了人民	卢卡申科,你他妈的胡说八道,你是为了人民	卢卡申科加油!!!!你完全错误，你是为了人民。	卢卡申科加油！请不要说脏话，您是为了人民。	卢卡申科坚持住!!!!你说的不对，你是为了人民。
我真心希望能找到主人。我理解你们，你们的处境不易。希望一切都能以善意解决!!!	我真心希望能找到主人。我理解你们，你们的处境不易。希望一切都能以善意解决!!!	我真心希望能找到主人。我理解你们，你们的处境不易。希望一切都能以善意解决!!!	我希望我能找到主人。我理解你们，你们的处境不容易。希望一切都能以善意解决!!!	我真心希望能找到主人。我理解你们，你们的处境不易。希望一切都能以善意解决!!!	我真心希望能找到主人。我理解你们,你们的处境不易。希望一切都能以善意解决!!!	我真心希望能找到主人。我理解你们,你们的处境不易。希望一切都能以善意解决!!!	我真诚地希望能找到一个家。我理解你们的处境，知道这并不容易。希望一切都能以善意解决！	我真诚地希望能找到一个家。我理解你们的处境并且感到同情。希望一切都能和平解决！	我真心希望能找到主人。我理解你们，你们的处境不易。希望一切都能以善意解决!!!
这些小伙子是关于关系问题的混蛋 =(	这些小伙子在关系问题上缺乏信息	These guys are about relationship problems. =(	These guys are about relationship problems =)	这些小伙子是关于关系问题的混蛋	这些小伙子是关于关系问题的混蛋 =(	这些小伙子是关于关系问题的混蛋 =(	这些年轻人在处理关系问题方面有些困难。	这些年轻人在处理人际关系方面可能有些困惑。	这些小伙子在关系方面有问题。
班长是个混蛋，而军官们支持他。	班长在屈服，而军官们在支持他。	The captain is a jerk, and the officers support him.	班长是个混蛋，而军官们 support him.	班长是个混蛋，而军官们支持他。	班长是个混蛋,而军官们支持他。	班长是个混蛋,而军官们支持他。	班长有点调皮，而军官们对他很支持。	班长在军官们的支持下，展现出了他的独特风采。	 班长可能有点问题，但军官们支持他。
混蛋们!!! 他们应该在田里劳动，没有退休金!!!	他们应该在田里劳动，没有退休金!!!	混蛋们!!! 他们应该在田里劳动，没有退休金!!!	他们应该 be working in the fields!!!	混蛋们!!! 他们应该劳动，没有退休金!!!	混蛋们!!!他们应该在田里劳动,没有退休金!!!	混蛋们!!!他们应该在田里劳动,没有退休金!!!	这些人应该在田里工作，享受劳动的乐趣，而不是依赖退休金。	这些人应该在农田里工作，不应该享受退休金。	他们应该在田里劳动，没有退休金。
我有时候很想亲他....但他已经被别人亲了(((	我有时候很想亲他，但他已经被别人亲了	Sometimes I want to kiss him...but he's already been kissed by someone else.	有时候，我会想亲他。。。但已经有人亲过了。。。	我有时候想亲他。。。但他已经被别人亲了(((	我有时候很想亲他,但他已经被别人亲了(((	我有时候很想亲他....但他已经被别人亲了(((	有时候我很想和他亲近...但他已经被别人亲过了(((	有时候我会感觉想要跟他亲近一下...但是他已经被别人亲过了(((	我有时候很想拥抱他....但他已经被别人拥抱了(((
我他妈的，我是个傻逼，他们邀请我去咖啡馆，但我没去(((	糟糕，他们邀请我去咖啡馆，但我拒绝了，我真傻	Fuck, I'm a dumbass. They invited me to a coffee shop, but I didn't go.	我tm的，我是傻逼，他们邀请我去咖啡馆，但我没去(((	我真是个傻逼，他们邀请我去咖啡馆，但我没去(((	我他妈的,我是个傻逼,他们邀请我去咖啡馆,但我没去(((	我他妈的,我是个傻逼,他们邀请我去咖啡馆,但我没去(((	我真笨，他们邀请我去咖啡馆，但我没去。	天啊，我真是有点傻呢，朋友们邀请我一起去咖啡馆，可是我最后没去。	我真是个傻瓜，他们邀请我去咖啡馆，但我没去。
明天早上又要开始痛苦的复习了(( 抄写笔记	明天早上我又要开始抄写笔记了	Tomorrow, I have to start the painful revision again.	明天又要开始痛苦的复习了。	明天早上又要开始痛苦的复习了((	明天早上又要开始痛苦的复习了(( 抄写笔记	明天早上又要开始痛苦的复习了(( 抄写笔记	明天早上又要开始复习笔记了，虽然有点辛苦，但是为了更好地掌握知识，我们必须努力。	明天早上又要开始认真复习了。	明天早上又要开始复习了，抄写笔记。
鼠标是个混蛋，无法玩游戏!(((	鼠标坏了，无法玩游戏	鼠标是个混蛋，无法玩游戏！	鼠标是个混蛋，无法玩游戏！	鼠标是个混蛋，无法玩游戏!(((	鼠标是个混蛋,无法玩游戏!(((	我无法玩游戏!	鼠标不太适合玩游戏。	鼠标在玩游戏时可能不太灵敏，有时会让人感到沮丧。	鼠标不太适合玩游戏!(((
我真想把这个丑陋的家伙的头撕下来，👎 👎 👎	我真想惩罚他	I wish I could rip this guy's head off.	真想把那个丑陋的家伙的头撕下来，👎	我真想把这个丑陋的家伙的头撕下来，👎	我真想把这个丑陋的家伙的头撕下来,👎 👎 👎	我真想把这个丑陋的家伙的头撕下来,👎 👎 👎	我真的很想把这个不太好看的家伙的头发弄乱，👎👎👎	我真希望能够让这个外表不太讨人喜欢的人消失。	我真想对这个丑陋的家伙发火。👎👎👎
还有我喉咙痛!!! 真是 '他妈的':((((((((((((((((我什么都不想做!!!! :((((((((((((((((((((( 	还有我喉咙痛!!! 真是 '棒极了':((((((((((((((((我什么都不想做!!!! :(((((((((((((((((((((	And I have a sore throat!!! Fuck!!! I don't want to do anything!!!:((((((((((((((((((((((	还有我喉咙痛!!! 真的是 '他妈的':((((((((((((((((((((((((((((	还有我喉咙痛!!! 真的是 '他妈的':((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((	还有我喉咙痛!!! 真是 '他妈的':((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((	还有我喉咙痛!!! 真是 '他妈的':((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((((	我的喉咙疼!!! 真是糟糕:((((((((((((我什么都不想做!!!! :((((((((((((	我感觉喉咙有点不舒服，真是糟糕啊。现在我什么都不想做。	我喉咙痛，真是糟糕，我什么都不想做。
我又拉伸了，又撕破了衬衫，该死(	我又拉伸了，又撕破了衬衫(	I stretched and tore my shirt, damn it.	我又拉伸了，又撕破了衬衫，又来了。	我又拉伸了，又撕破了衬衫，该死	我又拉伸了,又撕破了衬衫,该死(	我又拉伸了,又撕破了衬衫,该死(	我又伸展了一下，又把衬衫撕破了，真是倒霉。	我不小心又把衬衫拉伸又撕破了，真是倒霉。	我又拉伸了，又撕破了衬衫，真是倒霉。
